id,status,votes,title,avg_age,polarity,budget,category,level,district,detailed_localization,description,attachments
488,niewybrany,174,Spotkajmy się na Wzgórzu Andersa ,36.5574712644,0,20000,zieleń/rekreacja,do 250 000 zł,"Huby, Gaj, Tarnogaj",Wzgórze Andersa na osiedlu Huby," Wzgórze Andersa to miejsce spotkań matek z dziećmi, studentów, seniorów i wielu innych osób. Dotychczas Ci ludzie musieli siedzieć na trawie, a miejsce to nie spełniało wymagań godnego wypoczynku. Z tej przyczyny proponujemy postawienie kilku ławek z oparciami i koszami na śmieci aby milej spędzało się tam czas. Co więcej niedaleko znajduje się aqua park, siłownia oraz plac do free runningu. Dlatego też to dobry pomysł aby klienci tych miejsc mogli zregenerować swoje siły po treningu.",[]
206,wycofany,,"Tęczowe przejścia na ulicy Piłsudskiego przy Dworcu Głównym, przy  Kinie Nowe Horyzonty, na Placu Dominikańskim oraz Grunwaldzkim.  ",0,7,90000,inne,do 250 000 zł,"Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie",brak.,"Wrocław to miasto z wielowiekową tradycją tolerancji i współistnienia wielu kultur i narodowości. Był to niewątpliwie powód jego bogacenia się oraz ciągłej rozbudowy. Wrocławianie (nieważne w jakim języku, by ich nazywać) byli zawsze ludźmi otwartymi, wierzącymi w miłość i braterstwo. Dziś są one zagrożone poprzez narastający nacjonalizm i neofaszyzm, propagandę i język nienawiści, ostatni rok pokazał to aż nadto. Taki stan rzeczy nie może dalej trwać, zwłaszcza w Europejskiej Stolicy Kultury, jaką w roku 2016 Wrocław jest. 

W związku z tym proponuje sięgnąć po niezwykle silny symbol szczęścia, radości i tolerancji jakim jest tęcza i umieścić go na przejściach dla pieszych w kilku ważnych i mocno uczęszczanych miejscach. Chodzi konkretnie o wszystkie przejścia otaczające dworzec Wrocław Główny, Kino Nowe Horyzonty oraz Plac Dominikański i Plac Grunwaldzki.

Rozwiązanie takie było już zastosowane w Seattle, w dzielnicy Capitol Hill, gdzie przejścia funkcjonują do dziś i cieszą codziennie przechodniów. Stanowią one radosny element w tkance miejskiej, który jednocześnie nie jest mocno inwazyjny. 

Przejścia będą promować we Wrocławiu tolerancje, braterstwo, miłość i różnorodność. Wartości od zawsze bliskie naszemu miastu. ","[['files/attachments_2016/206/0af71979e4ec88f175dbc3219b3dd794.JPG', '\n\n\n\n\n']]"
94,niewybrany,278,Remont sieci trakcyjnej na zajezdni Dąbie  ,40.273381295,-1,500000,inne,do 1 000 000 zł,projekt ogólnomiejski,brak.,Sieć trakcyjna na zajezdni Dąbie grozi katastrofą budowlaną i z tego powodu została wyłączona z eksploatacji oraz wyłączono na niej zasilanie. W sytuacji gdy jest planowane aby na zajezdni Dąbie miała być prezentowana kolekcja zabytkowych tramwajów to jest konieczne przeprowadzenie takiego remontu. Obecnie mamy we Wrocławiu cenne eksponaty tramwajowe będącą własnością Klubu Sympatyków Transportu Miejskiego (KSTM) lub Urzędu Miasta i zajezdnia Dąbie byłaby świetnym miejscem do ich prezentacji. Wiele turystów i mieszkańców miasta pyta się o możliwość zwiedzenia tego typu pojazdów a póki co w odróżnieniu od Krakowa nie ma im gdzie pokazać naszych starych tramwajów . ,[]
179,niewybrany,19,Kosze na śmieci wokół alejek spacerowych na osiedlu Żerniki. ,33.1578947368,-4,18000,zieleń/rekreacja,do 250 000 zł,"Muchobór Wielki, Żerniki, Jerzmanowo-Jarnołtów-Strachowice-Osiniec",brak.,"Na alejkach spacerowych nie ma koszy na śmieci, śmieci wyrzucane są na trawnik, śmieci zostawiane są pod ławkami.","[['files/attachments_2016/179/c7db27b313255de7a258f3dbd65b0b5f.jpg', '\n\n\n\n\n'], ['files/attachments_2016/179/ab080584b5dd74d1112e6aaab58754e0.jpg', '\n\n\n\n\n']]"
59,wycofany,,Park Wojszyce - uporządkowanie terenu - PROJEKT WYCOFANY PRZEZ LIDERA ,0,-1,250000,zieleń/rekreacja,do 250 000 zł,"Ołtaszyn, Wojszyce, Jagodno",brak.,"Celem projektu jest stworzenie parku oraz placu zabaw dla dzieci na terenie Wojszyc we Wrocławiu. Plac ten ma być pierwszym etapem, który dopiero  rozpocznie proces zagospodarowania całej działki 80/1. Zgodnie z Uchwałą Nr XVIII/517/08 Rady Miejskiej Wrocławia z dnia 14 lutego 2008r działka ta obejmuje teren ZP/35. Zgodnie z §28 pkt. 1 ww. uchwały teren ZP/35 jest przeznaczony m.in. na zieleń parkową, skwery oraz place zabaw. 

Zakres projektu:
•	uporządkowanie działki,
•	nasadzenie trawy,
•	budowa ścieżek.

Obecnie na terenie Wojszyc nie ma żadnych publicznych terenów zielonych. W najbliższej okolicy nie ma jakichkolwiek ogólnodostępnych placów zabaw dla najmłodszych. Coraz więcej mieszkańców zauważa ten problem, tj. brak jakiegokolwiek miejsca, w którym można spędzić wolny czas na powietrzu oraz w którym dzieci mogłyby bawić się bezpiecznie. Ulice oraz chodniki osiedla są zdominowane przez zaparkowane auta. Place zabaw w podwórkach dużych osiedli są niewystarczające na utrzymanie właściwego poziomu aktywności fizycznej i sprawności ruchowej. Dodatkowo są to prywatne miejsca do zabawy, z których korzystanie jest tylko w gestii dobrej woli właścicieli. Sytuacja taka przyczynia się do podziałów społecznych już od najmłodszych lat. Publiczne tereny zielone, w tym place zabaw, takiej bariery nie posiadają – wręcz przeciwnie przyczyniają się do rozwoju fizycznego, psychicznego oraz społecznego.

Obecnie projekt Parku na Wojszycach wpisany jest na tzw. „listę inwestycji koniecznych” przez ZZM. Przy najbliższej aktualizacji Wieloletniego Planu Inwestycyjnego projekt ma zostać zgłoszony do Wydziału Inżynierii Miasta.","[['files/attachments_2016/59/81771f0ac05fa387b01c5ee9ccc807a5.pdf', '\n\n\nZałącznik nr 1(    1.28 MB)\n\n'], ['../wbo2016/files/attachments_2016/59/772becd5dc9d21143c8639066b316e19.pdf', '\n\n\nFormularz poprawkowy(    119.82 KB)\n\n']]"
97,niewybrany,127,Uporządkowanie parkowania na osiedlu Huby - oddajmy chodniki pieszym! ,36.6456692913,0,250000,drogowe,do 250 000 zł,"Huby, Gaj, Tarnogaj",brak.," Obecnie na ulicach osiedla Huby duży problem stanowią samochody zaparkowane w niewłaściwy sposób - czy to w dwóch, a nawet trzech rzędach na chodniku, czy też blokując chodnik gdy na jezdni zostaje dużo miejsca, często niszcząc zieleń, tworząc błotniste klepiska w miejsce trawników.

Projekt zakłada uporządkowanie parkowania na ulicach, gdzie w/w problem występuje najsilniej:
- Joannitów, Ciepła, Dawida - parkowanie równoległe lub ukośne w zależności od dostępnego miejsca, montaż słupków parkingowych;
- Gajowa - parkowanie ukośne po stronie wschodniej, parkowanie równoległe po stronie zachodniej, montaż słupków parkingowych;
- Kamienna - uniemożliwienie wjazdu na chodnik poprzez montaż słupków;
- Łódzka, Tomaszowska, Wesoła, Przestrzenna - zmiana ruchu na jednokierunkowy (pomiędzy ulicami Borowską a Gajową oraz Kamienną a Wesołą), parkowanie ukośne po obu stronach lub po jednej a po drugiej równoległe, montaż słupków;

W zamian za zlikwidowanie nielegalnych miejsc parkingowych proponuje się wydzielenie zatok parkingowych lub utworzenie legalnych parkingów tam, gdzie jest na to miejsce, np. na Glinianej poprzez przesunięcie słupków i barierek przy SP73 celem wydzielenia zatok z chodnika, albo na Przestrzennej pomiędzy drzewami. Dodatkowo, dla poprawy bezpieczeństwa i komfortu mieszkańców, proponuje się:
- Obniżenie krawężnika na wyjeździe z podwórka na ul. Wapienną;
- Uniemożliwienie parkowania w obrębie skrzyżowań i przejść dla pieszych - przez ograniczoną widoczność i jeżdżących zbyt szybko kierowców często jest niebezpiecznie;
- Obniżenie krawężników i przestawienie obu stacji roweru miejskiego przy Gajowej tak, aby rowerzysta po wypożyczeniu roweru nie musiał jechać po chodniku, tylko od razu znalazł się na jezdni.","[['../wbo2016/files/attachments_2016/97/80e5042a86932f3efcf1d9b1a00b5a25.docx', '\n\n\nFormularz poprawkowy(    65.28 KB)\n\n']]"
270,wycofany,,Bezpieczne podwórko w obrębie ul. Wyszyńskiego-Cinciały-Miarki- Daszyńskiego ,0,3,500000,rewitalizacja,do 750 000 zł,"Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie",brak.,"Celem projektu jest stworzenie przestrzennych warunków do zrównoważonego rozwoju, poprawy bezpieczeństwa i jakości życia mieszkańców Wrocławia w obrębie ul. Wyszyńskiego-Cinciały-Miarki- Daszyńskiego.
Ołbin jest jednym z najgęściej zamieszkanych osiedli Wrocławia. Zabytkowa tkanka miejska w tej części miasta jest jednak od wielu lat niedoinwestowana, co wpływa na niską jakość przestrzeni publicznej na jej obszarze. Jednym z takich miejsc jest nasze podwórko. Jest ono ogólnodostępne, co sprawia, że przebywają tam zarówno mieszkańcy budynków przylegających jak i osoby postronne. Ze względu na bliskość SP 78 przychodzą tam również dzieci z innych kwartałów. Brak oświetlenia i prawidłowego zagospodarowania przestrzeni przekłada się jednak na problemy z bezpieczeństwem jak i aktywizacją społeczną na tym obszarze. Konieczność modernizacji wnętrz kwartałów zabudowy potwierdzają zarówno dotychczasowe działania WBO jak i projekty w ramach Europejskiej Stolicy Kultury.
W trakcie konsultacji z mieszkańcami i użytkownikami podwórka zauważono potrzebę modernizacji w zakresie: wykonania instalacji oświetleniowej, zbudowania placu zabaw, zbudowania osłony na zbiorcze kosze na śmieci, zagospodarowania terenów zieleni oraz wyznaczenia ciągów komunikacyjnych i miejsc postojowych dla samochodów.
Realizacja projektu pozytywnie wpłynie na bezpieczeństwo użytkowników, jakość przestrzeni publicznej, możliwość aktywnego spędzania czasu oraz relacje społeczne między mieszkańcami osiedla. Dodatkowo, modernizacja obszaru może wpłynąć na zwiększenie dbałości o dobro wspólne. Proponowany projekt obejmuje działania niezbędne w celu skutecznej rewitalizacji obszarów Śródmieścia Wrocławia, które przez lata jest w tym zakresie niedoinwestowane.","[['files/attachments_2016/270/b7318a173719c894060735e247d3cfae.jpg', '\n\n\n\n\n']]"
199,wycofany,,Bezpłatna komunikacja miejska dla rodzin wielodzietnych ,0,0,100000,komunikacja zbiorowa,do 1 000 000 zł,projekt ogólnomiejski,Wrocław,"Bezpłatna komunikacja miejska we Wrocławiu sprawi, że:
 - będzie mniej samochodów na ulicach; 
- będzie mniej zanieczyszczone powietrze; 
- będzie promowany model rodziny wielodzietnej;",[]
259,wycofany,,Aleja spacerowa do Lasu Rakowieckiego - chodnik na ulicy Rakowieckiej - ścieżka rowerowa do Lasu Rakowieckiego wzdłuż ulicy Rakowieckiej ,0,-1,235000,piesze/rowerowe,do 250 000 zł,"Przedmieście Oławskie, Księże, Brochów, Bieńkowice",Od skrzyżowania ulicy Rakowieckiej z ulicą Na Niskich Łąkach w kierunku Lasu Rakowieckiego. Chodnik np. można zlokalizować po jednej stronie ulicy a ścieżkę rowerową po drugiej  stronie ulicy według obowiązujących norm technicznych.,"Projekt przewiduje stworzenie chodnika i ścieżki rowerowej wzdłuż ulicy Rakowieckiej.

Byłaby to kontynuacja alei spacerowej znajdującej się przy ulicy Na Niskich Łąkach, prowadząca aż do Lasu Rakowieckiego, który mógłby być przepięknym miejscem spacerów dla mieszkańców pobliskich dzielnic jak i wszystkich mieszkańców Wrocławia. Projektowana nowa część chodnika ze ścieżką rowerową umożliwi mieszkańcom Wrocławia wygodny spacer czy dojazd rowerem aż do Lasu Rakowieckiego, począwszy od ulicy Traugutta aż do Lasu Rakowieckiego. 

Obecnie przy części ulicy Rakowieckiej nie ma chodnika, ani po jednej ani po drugiej stronie ulicy, co powoduje, że dojście do lasu Rakowieckiego od strony ulicy Rakowieckiej jest nie tylko nieprzyjemne, jak i przede wszystkim niebezpieczne.  Piesi, w tym dzieci do szkoły, albo chodzą drogą, co jest niebezpieczne, lub wydeptują swoje własne ścieżki po pasach zieleni. Przejście po pasach zieleni jest jednak również często niemożliwe lub utrudnione ze względu na błoto lub zalegający zimą śnieg, lub samochody, które są zaparkowane przed każdym domem inaczej - na ulicy, bądź na trawie, bądź na podjazdach samochodowych.  Mieszkańcy niektórych domów próbują rozwiązać problem przed swoimi domami na własną rękę ( np. wysypując żwir lub układając inne nawierzchnie) co w efekcie daje bardzo niespójny wygląd całej ulicy i chaos architektoniczny, a przecież jest to centrum Wrocławia.
","[['files/attachments_2016/259/5054331ad864bf3b1d50770e603b3fd4.jpg', '\n\n\n\n\n'], ['files/attachments_2016/259/bdf1c705b18160bdd8dee13e1d8442d9.JPG', '\n\n\n\n\n'], ['files/attachments_2016/259/516a38b6b96b883223afe8959611afea.JPG', '\n\n\n\n\n'], ['files/attachments_2016/259/e03ad53125f7f6ad075fba16392fb4ab.JPG', '\n\n\n\n\n']]"
602,wycofany,,„Brodzik-1” – Karłowickie Centrum Rekreacji ,0,2,750000,zieleń/rekreacja,do 750 000 zł,"Karłowice-Różanka, Kleczków",Działka znajduje się w centrum Miasta - Ogrodu Karłowice w bezpośrednim sąsiedztwie Placu Piłsudskiego i Placu Daniłowskiego z charakterystyczną dla Karłowic Wieżą Ciśnień.,"Projekt wpisuje się w ideę „Wrocław - Europejska Stolica Kultury 2016” i The Word Games 2017. 
Plac Piłsudskiego i tereny przyległe są założeniem historycznym i zaniechanie działań doprowadzi do jego dalszej degradacji. Celowe jest przywrócenie rangi miejscu w ramach współczesnych uwarunkowań w skali 35 – tysięcznego osiedla z zachowaniem pierwotnej funkcji rekreacyjnej. W bezpośrednim sąsiedztwie, w obrębie kwartału zabudowy mieszka ok. 3 tys.
Do lat 80-tych teren ten funkcjonował jako teren rekreacji z czynnym kąpieliskiem. Jako jedyne takie w północnej części Miasta. W 1998 roku, na zlecenie ówczesnego CK Agora, powstał projekt modernizacji zagospodarowania przestrzennego (wraz z terenem zielonym przy CK Agora – projektowane łącznie). 
Teren ten wraz z Placem Piłsudskiego jest ujęty w publikacjach rodzimych i zagranicznych, które zachęcają do odwiedzin miejsca. Stanowi on ważny element na mapie turystycznej Miasta i jest odwiedzany przez liczne wycieczki zagraniczne, głownie z Niemiec. 
Do istotnych elementów wpływających na jakość życia należą integracja mieszkańców i rekreacja w miejscu zamieszkania dla około 3 tys. mieszkańców w bezpośrednim sąsiedztwie, identyfikacja z miejscem zamieszkania, podniesienie standardu życia, przywrócenie miejscu wysokiej rangi w skali Karłowic i w skali Miasta.
Beneficjenci
Gmina Wrocław, cały region, mieszkańcy osiedla.
",[]
